Feature,Count,Mean,Median,Std,Min,Max,Q1,Q3,Skewness,Kurtosis
Start_Lat,6752542,36.21462987660999,35.794559,5.087556467344016,24.5548,49.002201,33.393791,40.090546,-0.06586280812581784,-0.5492923054950762
Start_Lng,6752542,-94.64299230284294,-87.874718,17.273816334672066,-124.623833,-67.113167,-117.16384099999999,-80.469131,-0.4987253943620067,-1.3318782466844779
Distance(mi),6752542,0.564352783452347,0.024,1.7754046064978388,0.0,441.75,0.0,0.46,20.01614394434667,1601.7989647187421
Temperature(F),6752542,61.8929814431381,64.0,19.052599575012046,-45.0,196.0,49.0,76.0,-0.5224581617623127,-0.00830114045266317
Humidity(%),6752542,64.45754546954318,67.0,22.75437423381591,1.0,100.0,49.0,84.0,-0.38095989006967507,-0.7286639237559194
Pressure(in),6752542,29.51877395653347,29.84,1.0098822715940705,0.0,58.63,29.34,30.02,-3.5708034181529476,20.195404071693797
Visibility(mi),6752542,9.106014403168471,10.0,2.648248148356706,0.0,140.0,10.0,10.0,2.157387857915129,80.52054717324141
Wind_Speed(mph),6752542,7.691714601701566,7.0,5.405024811723923,0.0,1087.0,4.6,10.4,8.308682111500845,1143.6536633735786
Hour,6752542,12.40915702560606,13.0,5.406232231117691,0.0,23.0,8.0,17.0,-0.15212180396631006,-0.7820709865217301
Weekday,6752542,4.0892363201887525,4.0,1.7590063935662357,1.0,7.0,3.0,6.0,-0.04929331721878712,-1.0685933743054175
Month,6752542,6.661674521980019,7.0,3.6275566252289746,1.0,12.0,4.0,10.0,-0.06771559869018805,-1.3108140731159523
